subject_id,epoch_id,start_time_sec,eeg_channel,mean,std,min,max,signal_energy,delta_power,theta_power,alpha_power,beta_power,sleep_stage,sleep_stage_raw
0,0,0.0,EEG Fpz-Cz,1.1706158686467237e-07,3.4163642119257456e-05,-0.0001100176446704,0.000142634290447,3.501504438803464e-06,6.604420215570635e-10,9.43115443419588e-11,9.313704779703377e-12,1.042556536105426e-11,Wake,Sleep stage W
0,1,30.0,EEG Fpz-Cz,-4.542278913513231e-07,2.442873291805229e-05,-9.377252519209532e-05,0.0001003664363573,1.7909079448764397e-06,3.9127725492739866e-10,4.3716977412644986e-11,1.3842198665342024e-11,2.9865579248015544e-11,Wake,Sleep stage W
0,2,60.0,EEG Fpz-Cz,5.753864631055538e-07,2.920744789218084e-05,-0.000104025442823,9.513725917558532e-05,2.560218245869152e-06,5.033641929536215e-10,2.2699169899277324e-11,1.391971493813488e-11,1.6435435330205697e-11,Wake,Sleep stage W
0,3,90.0,EEG Fpz-Cz,-4.079419255892714e-07,1.6378401363039834e-05,-5.479336232921025e-05,4.9977663296444665e-05,8.052553434704358e-07,1.851076659399954e-10,2.0497578548419597e-11,1.3538063983464866e-11,7.366769390166574e-12,Wake,Sleep stage W
0,4,120.0,EEG Fpz-Cz,-1.88528723928495e-07,1.66220124813225e-05,-7.829615184509615e-05,7.139223619678893e-05,8.289805260269612e-07,1.8201689428868038e-10,4.064413340759025e-11,1.1882131022331423e-11,6.411342035775441e-12,Wake,Sleep stage W
0,5,150.0,EEG Fpz-Cz,7.317126033914056e-08,2.7593320451899887e-05,-9.710919311074904e-05,8.47633930018239e-05,2.284190062783728e-06,4.4165074933950145e-10,1.2600909078642583e-10,9.972680921454379e-12,9.484997735671736e-12,Wake,Sleep stage W
0,6,180.0,EEG Fpz-Cz,-9.18316720132573e-08,3.070136198254498e-05,-0.0001100695007501,0.0001059815402772,2.82774618191773e-06,5.689596899381331e-10,7.173728244407898e-11,1.5287895132276917e-11,4.07186689970857e-11,Wake,Sleep stage W
0,7,210.0,EEG Fpz-Cz,1.825631917073385e-07,3.109660146028079e-05,-0.0001050552259044,0.0001225200928015,2.901095855095511e-06,6.661390954866781e-10,5.183939387155032e-11,6.238946873542656e-12,8.879012432009739e-12,Wake,Sleep stage W
0,8,240.0,EEG Fpz-Cz,-1.26632818926484e-07,2.023483780921133e-05,-8.206426582878945e-05,7.725327433954918e-05,1.2283940911077524e-06,2.978461270281497e-10,6.694919116511633e-11,9.068461395801628e-12,9.999076076694027e-12,Wake,Sleep stage W
0,9,270.0,EEG Fpz-Cz,2.2980186107566247e-07,2.5911707874847036e-05,-9.390639002329444e-05,0.0001093656376176,2.0144082416602904e-06,4.39987530450183e-10,4.0679582872762064e-11,9.520382187572295e-12,1.9902271878935555e-11,Wake,Sleep stage W
0,10,300.0,EEG Fpz-Cz,2.8771421975396746e-08,3.0511988238610204e-05,-0.0001088975964172,8.547959490391157e-05,2.79294676220343e-06,5.731945283714067e-10,3.664843754568305e-11,8.804723146253018e-12,1.1143536548001048e-11,Wake,Sleep stage W
0,11,330.0,EEG Fpz-Cz,-4.870630660812268e-08,3.242546070126434e-05,-0.0001140645196003,0.0001306503244332,3.154238621980624e-06,6.586217129923321e-10,5.0848221388441183e-11,9.600144855445197e-12,1.6042323411885794e-11,Wake,Sleep stage W
0,12,360.0,EEG Fpz-Cz,-9.421935704505416e-07,3.1001355330088314e-05,-0.0001144759932298,0.0001071166911281,2.8859152830797797e-06,6.177366266089051e-10,6.648651902181314e-11,1.0706531712050303e-11,1.3060578481362176e-11,Wake,Sleep stage W
0,13,390.0,EEG Fpz-Cz,7.484280901137032e-07,2.553095259314852e-05,-9.538817051195552e-05,0.0001059725970994,1.9571690547590045e-06,3.4340834673939164e-10,4.75334442317635e-11,7.482171544837202e-12,1.1397638186356062e-11,Wake,Sleep stage W
0,14,420.0,EEG Fpz-Cz,-1.5793443624766302e-07,1.6716992536881948e-05,-8.164873730849094e-05,9.307147689609089e-05,8.384483482929586e-07,1.87154463216198e-10,1.7594472054738054e-11,3.564061513092547e-12,6.1383513463165615e-12,Wake,Sleep stage W
0,15,450.0,EEG Fpz-Cz,7.072243027724676e-07,2.235496676536727e-05,-9.238128068866306e-05,9.180253728808424e-05,1.500734115885322e-06,3.1421067442259056e-10,3.24160330218294e-11,9.046841520151022e-12,1.3618192432312535e-11,Wake,Sleep stage W
0,16,480.0,EEG Fpz-Cz,-3.633565476990525e-07,1.929250251701965e-05,-8.779374146704658e-05,5.9605231986551045e-05,1.116998044049896e-06,1.9789569830891856e-10,2.8285224370538808e-11,7.307073086892241e-12,1.1322613521111392e-11,Wake,Sleep stage W
0,17,510.0,EEG Fpz-Cz,-1.4060027487704077e-07,2.566617628792552e-05,-8.685585805052142e-05,8.326518331172025e-05,1.976317121040497e-06,4.545681591682506e-10,4.8609472545338076e-11,1.129604167581962e-11,1.5488889208735245e-11,Wake,Sleep stage W
0,18,540.0,EEG Fpz-Cz,7.307971165441956e-08,2.35585261748628e-05,-8.231260149926979e-05,9.708588797740247e-05,1.6650284885278535e-06,3.67518230233323e-10,3.715882346353656e-11,8.048807824856445e-12,1.0255592192107772e-11,Wake,Sleep stage W
0,19,570.0,EEG Fpz-Cz,6.166256251186205e-08,1.6554535795384993e-05,-7.237479621669763e-05,7.682864942119762e-05,8.221693730168959e-07,1.8207932097614075e-10,2.3889282574702365e-11,6.870067274300605e-12,1.6826263143676138e-11,Wake,Sleep stage W
0,20,600.0,EEG Fpz-Cz,-2.252910125383951e-07,1.8544717046908222e-05,-9.148699564443674e-05,0.0001101777963248,1.031871859170657e-06,2.256744031438e-10,1.5137148139860047e-11,4.6766551091553295e-12,8.644257622484965e-12,Wake,Sleep stage W
0,21,630.0,EEG Fpz-Cz,-7.586454351781741e-08,1.3226186926188924e-05,-6.765463169363964e-05,4.984943324711586e-05,5.24813328106362e-07,1.0754567180936274e-10,1.659269129744463e-11,4.772707092115076e-12,6.653680409699417e-12,Wake,Sleep stage W
0,22,660.0,EEG Fpz-Cz,2.667367986287667e-07,1.291772789679491e-05,-6.822604560320843e-05,5.418024290697079e-05,5.008165276061285e-07,1.0736221502484176e-10,1.2263327753133552e-11,6.116630699284358e-12,1.218402840332608e-11,Wake,Sleep stage W
0,23,690.0,EEG Fpz-Cz,2.0701025910647645e-08,1.1926194798109522e-05,-5.974226628031733e-05,5.877990692185672e-05,4.267036526847851e-07,8.134858521973373e-11,1.3607206358510798e-11,5.508697240543524e-12,1.0632457179153158e-11,Wake,Sleep stage W
0,24,720.0,EEG Fpz-Cz,-4.5446330772987836e-08,1.694896436505092e-05,-8.434163081268182e-05,5.824313217366429e-05,8.6180837525024e-07,2.0655846060191022e-10,2.6007266524228797e-11,5.276911321758182e-12,8.411264597845619e-12,Wake,Sleep stage W
0,25,750.0,EEG Fpz-Cz,-9.310913141303448e-08,2.506004879305625e-05,-9.461231775210202e-05,8.715580281356858e-05,1.8840441444621375e-06,3.7560767713412375e-10,2.3535697438015303e-11,6.744469551011288e-12,9.875864239433775e-12,Wake,Sleep stage W
0,26,780.0,EEG Fpz-Cz,-5.903262560656139e-07,2.2000678994216283e-05,-8.533778903634692e-05,7.742408043600265e-05,1.45313508388545e-06,2.4972354545824225e-10,2.07545365768957e-11,6.061791146383433e-12,1.1489727924749927e-11,Wake,Sleep stage W
