id,subject_id,epoch_id,start_time_sec,eeg_channel,mean,std,min,max,signal_energy,delta_power,theta_power,alpha_power,beta_power,sleep_stage,sleep_stage_raw
2651,0,0,0.0,EEG Fpz-Cz,1.1706158686467237e-07,3.4163642119257456e-05,-0.0001100176446704,0.000142634290447,3.501504438803464e-06,6.604420215570635e-10,9.43115443419588e-11,9.313704779703377e-12,1.042556536105426e-11,Wake,Sleep stage W
2652,0,1,30.0,EEG Fpz-Cz,-4.542278913513231e-07,2.442873291805229e-05,-9.377252519209532e-05,0.0001003664363573,1.7909079448764397e-06,3.9127725492739866e-10,4.3716977412644986e-11,1.3842198665342024e-11,2.9865579248015544e-11,Wake,Sleep stage W
2653,0,2,60.0,EEG Fpz-Cz,5.753864631055538e-07,2.920744789218084e-05,-0.000104025442823,9.513725917558532e-05,2.560218245869152e-06,5.033641929536215e-10,2.2699169899277324e-11,1.391971493813488e-11,1.6435435330205697e-11,Wake,Sleep stage W
2654,0,3,90.0,EEG Fpz-Cz,-4.079419255892714e-07,1.6378401363039834e-05,-5.479336232921025e-05,4.9977663296444665e-05,8.052553434704358e-07,1.851076659399954e-10,2.0497578548419597e-11,1.3538063983464866e-11,7.366769390166574e-12,Wake,Sleep stage W
2655,0,4,120.0,EEG Fpz-Cz,-1.88528723928495e-07,1.66220124813225e-05,-7.829615184509615e-05,7.139223619678893e-05,8.289805260269612e-07,1.8201689428868038e-10,4.064413340759025e-11,1.1882131022331423e-11,6.411342035775441e-12,Wake,Sleep stage W
2656,0,5,150.0,EEG Fpz-Cz,7.317126033914056e-08,2.7593320451899887e-05,-9.710919311074904e-05,8.47633930018239e-05,2.284190062783728e-06,4.4165074933950145e-10,1.2600909078642583e-10,9.972680921454379e-12,9.484997735671736e-12,Wake,Sleep stage W
2657,0,6,180.0,EEG Fpz-Cz,-9.18316720132573e-08,3.070136198254498e-05,-0.0001100695007501,0.0001059815402772,2.82774618191773e-06,5.689596899381331e-10,7.173728244407898e-11,1.5287895132276917e-11,4.07186689970857e-11,Wake,Sleep stage W
2658,0,7,210.0,EEG Fpz-Cz,1.825631917073385e-07,3.109660146028079e-05,-0.0001050552259044,0.0001225200928015,2.901095855095511e-06,6.661390954866781e-10,5.183939387155032e-11,6.238946873542656e-12,8.879012432009739e-12,Wake,Sleep stage W
2659,0,8,240.0,EEG Fpz-Cz,-1.26632818926484e-07,2.023483780921133e-05,-8.206426582878945e-05,7.725327433954918e-05,1.2283940911077524e-06,2.978461270281497e-10,6.694919116511633e-11,9.068461395801628e-12,9.999076076694027e-12,Wake,Sleep stage W
2660,0,9,270.0,EEG Fpz-Cz,2.2980186107566247e-07,2.5911707874847036e-05,-9.390639002329444e-05,0.0001093656376176,2.0144082416602904e-06,4.39987530450183e-10,4.0679582872762064e-11,9.520382187572295e-12,1.9902271878935555e-11,Wake,Sleep stage W
